Date,AAPL,BRK-B,GOOGL,JPM,META,MSFT,NVDA,SPY,TSLA,UNH,V
2022-12-12,142.342575073242,311.450012207031,92.6102600097656,124.647064208984,114.007171630859,246.613693237305,17.517463684082,382.871887207031,167.820007324219,516.748107910156,209.79426574707
2022-12-13,143.308044433594,312.329986572266,94.9128494262695,124.526329040527,119.413856506348,250.92073059082,18.0539283752441,385.770141601563,160.949996948242,509.515594482422,208.278900146484
2022-12-14,141.081604003906,309.290008544922,94.3570709228516,123.90406036377,120.845031738281,251.213760375977,17.6563282012939,383.3037109375,156.800003051758,509.648193359375,208.552673339844
2022-12-15,134.471343994141,301.910003662109,90.1786346435547,120.829933166504,115.438369750977,243.195465087891,16.9350452423096,373.927459716797,157.669998168945,499.537750244141,203.263549804688
2022-12-16,132.51091003418,300,89.583137512207,120.077629089355,118.698265075684,238.976303100586,16.5544281005859,369.512847900391,150.229995727539,495.770080566406,202.266357421875
2022-12-19,130.402709960938,300.029998779297,87.7767944335938,120.792755126953,113.778587341309,234.835357666016,16.2377452850342,366.379516601563,149.869995117188,495.675354003906,200.242645263672
2022-12-20,130.333770751953,302,88.352424621582,121.377876281738,116.372604370117,236.153793334961,16.0689144134522,366.880798339844,137.800003051758,492.466094970703,200.770538330078
2022-12-21,133.436965942383,307.820007324219,88.9082412719727,122.743148803711,119.026237487793,238.722396850586,16.4844951629639,372.366607666016,137.570007324219,499.405181884766,202.188140869141
2022-12-22,130.264785766602,302.690002441406,87.1018829345703,121.350021362305,116.402412414551,232.62809753418,15.3236598968506,367.054382324219,125.349998474121,498.979248046875,200.477249145508
2022-12-23,129.900268554688,306.489990234375,88.5608596801758,121.925827026367,117.316764831543,233.155502319336,15.1907930374146,369.165679931641,123.150001525879,502.974151611328,201.230056762695
2022-12-27,128.097473144531,305.549987792969,86.7346496582031,122.353065490723,116.163887023926,231.426818847656,14.1068782806396,367.709930419922,109.099998474121,503.617858886719,201.679748535156
2022-12-28,124.166793823242,303.429992675781,85.3749237060547,123.021766662598,114.911605834961,229.053588867188,14.0219631195068,363.140106201172,112.709999084473,500.266723632813,200.408813476563
2022-12-29,127.683715820313,309.059997558594,87.7866973876953,123.727607727051,119.523178100586,235.382278442383,14.5883960723877,369.676727294922,121.819999694824,501.620452880859,203.410217285156
2022-12-30,127.998970031738,308.899993896484,87.568359375,124.544921875,119.602676391602,234.220062255859,14.59938621521,368.702941894531,123.180000305176,501.904449462891,203.116928100586
2023-01-03,123.21118927002,309.910003662109,88.4516906738281,125.492233276367,123.975723266602,233.985641479492,14.3006830215454,367.150787353516,108.099998474121,490.979888916016,202.755187988281
2023-01-04,124.482032775879,314.549987792969,87.4194793701172,126.662437438965,126.58960723877,223.750381469727,14.7342500686646,369.985198974609,113.639999389648,477.593933105469,207.858535766602
2023-01-05,123.161949157715,312.899993896484,85.5535736083984,126.634376525879,126.162239074707,217.118881225586,14.250735282898,365.762420654297,110.339996337891,463.829437255859,206.392059326172
2023-01-06,127.693572998047,318.690002441406,86.6850204467773,129.057586669922,129.223388671875,219.677734375,14.844141960144,374.150177001953,113.059997558594,463.867309570313,212.883651733398
2023-01-09,128.215713500977,315.529998779297,87.3599319458008,128.524307250977,128.676742553711,221.816604614258,15.6123714447021,373.938079833984,119.769996643066,463.924102783203,213.714645385742
2023-01-10,128.787094116211,316.350006103516,87.7569351196289,129.675079345703,132.175186157227,223.506225585938,15.8930902481079,376.560424804688,118.849998474121,460.08056640625,216.149002075195
2023-01-11,131.506088256836,320.369995117188,90.8336868286133,130.638778686523,132.075790405273,230.264602661133,15.98499584198,381.323150634766,123.220001220703,467.0859375,217.136459350586
2023-01-12,131.427261352539,318.929992675781,90.4466018676758,130.507827758789,135.87239074707,232.940628051758,16.4944858551025,382.711486816406,123.559997558594,469.234924316406,218.622482299805
2023-01-13,132.757186889648,317.640014648438,91.4291763305664,133.80110168457,136.140731811523,233.643829345703,16.8821029663086,384.196166992188,122.400001525879,463.460235595703,218.074996948242
2023-01-17,133.919662475586,314.859985351563,90.6054077148438,131.733428955078,134.530670166016,234.73762512207,17.6842994689941,383.492370605469,131.490005493164,459.209716796875,218.016342163086
2023-01-18,133.200500488281,308.299987792969,90.4366912841797,127.77579498291,132.205001831055,230.303695678711,17.3596229553223,377.437774658203,128.779998779297,450.841186523438,214.555465698242
2023-01-19,133.259613037109,305.230010986328,92.3522109985352,126.072998046875,135.315811157227,226.514282226563,16.7482357025147,374.690124511719,127.169998168945,458.528106689453,215.48420715332
2023-01-20,135.820953369141,309.869995117188,97.2849349975586,126.381767272949,138.516082763672,234.610717773438,17.8211612701416,381.670196533203,133.419998168945,460.762176513672,219.297073364258
2023-01-23,139.012817382813,310.420013427734,99.0416641235352,128.430740356445,142.392196655273,236.915557861328,19.1738109588623,386.249694824219,143.75,459.900726318359,219.169937133789
2023-01-24,140.411727905273,311.299987792969,96.9673461914063,129.534774780273,142.262985229492,236.38818359375,19.245735168457,385.835174560547,143.889999389648,465.381988525391,218.886413574219
2023-01-25,139.751693725586,311.899993896484,94.5059356689453,130.16162109375,140.633056640625,234.991592407227,19.3036766052246,385.979766845703,144.429992675781,466.233947753906,219.87385559082
2023-01-26,141.82048034668,310.950012207031,96.788688659668,130.966232299805,146.397491455078,242.209045410156,19.7821960449219,390.221862792969,160.270004272461,466.215026855469,219.688110351563
2023-01-27,143.761184692383,309.170013427734,98.6248168945313,131.28434753418,150.810287475586,242.365310668945,20.344633102417,391.118408203125,177.899993896484,460.127960205078,226.267684936523
